section_id,article_id,article_title,section_path,heading,level,bert_umap1,bert_umap2,base_value_mean,base_value_std,base_n_runs,base_value_pctile,base_variance_pctile,instruct_value_mean,instruct_value_std,instruct_n_runs,instruct_value_pctile,instruct_variance_pctile
2102,8044,Performing arts,History > Western performing arts > Renaissance,Renaissance,4,10.719443,1.1375384,-23.69292769806647,41.97746962836083,2,0.10075187969924812,0.5052631578947369,37.454886836621505,13.157326572842248,3,0.5338345864661654,0.18609022556390978
2103,8044,Performing arts,History > Western performing arts > Baroque era,Baroque era,4,10.591451,1.0479102,17.29906779032796,40.259380173638434,2,0.256015037593985,0.48721804511278194,9.588375782681931,17.359329380837618,3,0.20112781954887218,0.2718045112781955
2104,8044,Performing arts,History > Western performing arts > Neoclassicism,Neoclassicism,4,11.198969,1.4515901,35.131875111473335,10.771799531205511,2,0.381203007518797,0.13609022556390976,-9.851603616752778,7.081736284741544,3,0.07218045112781955,0.07218045112781955
2105,8044,Performing arts,History > Western performing arts > Romanticism,Romanticism,4,11.293028,1.4654721,74.84295091847596,6.001971067617306,2,0.6424812030075188,0.08157894736842106,54.3816310937189,19.681800910647752,3,0.6917293233082706,0.3154135338345865
2106,8044,Performing arts,History > Western performing arts > Modern era,Modern era,4,11.189848,1.2687411,54.25328495679466,21.205751989978012,2,0.5097744360902255,0.27593984962406015,22.015898751004034,25.210127023220693,3,0.34924812030075186,0.40075187969924814
2107,8044,Performing arts,History > African performing arts,African performing arts,3,9.470523,1.3491932,291.3934052398628,15.993398742546924,2,0.9834586466165414,0.20526315789473684,101.70576236675315,40.43412612276103,3,0.8951127819548872,0.6169172932330828
2108,8044,Performing arts,History > African performing arts > North Africa,North Africa,4,10.716282,1.2312527,72.43947599144421,41.906746713606196,2,0.631578947368421,0.5045112781954887,69.53733556377632,38.312004828209744,3,0.7864661654135339,0.5909774436090226
2109,8044,Performing arts,History > African performing arts > West Africa,West Africa,4,9.404551,1.4625494,215.07767720490884,47.265050034710555,2,0.9590225563909774,0.5515037593984963,127.33040293770891,38.02397413842283,3,0.9443609022556391,0.587218045112782
2110,8044,Performing arts,History > Eastern performing arts > West Asia,West Asia,4,10.824102,1.2190062,59.16544146469975,78.54535428428302,2,0.5417293233082707,0.7665413533834586,1.5973411914305942,92.58388649531297,3,0.131203007518797,0.906390977443609
2111,8044,Performing arts,History > Eastern performing arts > Iran,Iran,4,10.767584,1.2991095,96.62970971282937,22.50066649204276,2,0.7417293233082707,0.29210526315789476,30.19230632341385,51.088344136886505,3,0.4518796992481203,0.7165413533834587
2112,8044,Performing arts,History > Eastern performing arts > India,India,4,10.457284,1.4917341,22.730126993112666,24.83724817195871,2,0.29097744360902256,0.31917293233082705,47.457772353780456,35.44203957277652,3,0.6345864661654136,0.5571428571428572
2113,8044,Performing arts,History > Eastern performing arts > China,China,4,10.661621,1.1423331,-21.9489045385798,56.821839951726155,2,0.10751879699248121,0.6342105263157894,56.68795597211891,58.494001085822035,3,0.7109022556390977,0.7695488721804511
2114,8044,Performing arts,History > Eastern performing arts > Thailand,Thailand,4,10.565373,1.4267796,115.31907152693996,91.47532287267079,2,0.8101503759398496,0.8218045112781955,69.84745373200323,8.07318352681865,3,0.7887218045112782,0.08909774436090226
